player,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team,hoop_math_input,school,sref_player_name,hoop_math_school
Jay Heath,229,0.501,0.48,0.284,0.585,0.105,0.262,0.35,0.048,0.45399999999999996,0.327,0.6759999999999999,0.122,0.821,2020-21,BostonCollege,BostonCollege,Boston College,Jay Heath,Boston College
Rich Kelly,135,0.559,0.53,0.289,0.615,0.16699999999999998,0.10400000000000001,0.28600000000000003,0,0.607,0.354,0.7929999999999999,0.17,0.87,2020-21,BostonCollege,BostonCollege,Boston College,Rich Kelly,Boston College
CJ Felder,131,0.562,0.5529999999999999,0.41200000000000003,0.685,0.595,0.099,0.308,0.5,0.489,0.32799999999999996,0.9520000000000001,0.298,0.59,2020-21,BostonCollege,BostonCollege,Boston College,CJ Felder,Boston College
Wynston Tabbs,121,0.54,0.5,0.215,0.5770000000000001,0,0.248,0.267,0.125,0.537,0.385,0.56,0.281,0.794,2020-21,BostonCollege,BostonCollege,Boston College,Wynston Tabbs,Boston College
Makai Ashton-Langford,104,0.508,0.462,0.40399999999999997,0.643,0.111,0.183,0.316,0,0.413,0.233,0.8,0.365,0.737,2020-21,BostonCollege,BostonCollege,Boston College,Makai Ashton-Langford,Boston College
Steffon Mitchell,101,0.562,0.535,0.426,0.6509999999999999,0.35700000000000004,0.109,0.455,0,0.465,0.298,1,0.455,0.652,2020-21,BostonCollege,BostonCollege,Boston College,Steffon Mitchell,Boston College
DeMarr Langford,85,0.515,0.447,0.565,0.521,0.32,0.259,0.318,0.14300000000000002,0.17600000000000002,0.267,1,0.541,0.7390000000000001,2020-21,BostonCollege,BostonCollege,Boston College,DeMarr Langford Jr.,Boston College
James Karnik,73,0.518,0.473,0.6579999999999999,0.562,0.33299999999999996,0.17800000000000002,0.231,1,0.16399999999999998,0.25,1,0.315,0.7829999999999999,2020-21,BostonCollege,BostonCollege,Boston College,James Karnik,Boston College
Frederick Scott,37,0.5670000000000001,0.5539999999999999,0.35100000000000003,0.5379999999999999,0.28600000000000003,0.18899999999999997,0.429,0.33299999999999996,0.45899999999999996,0.41200000000000003,0.5710000000000001,0.405,0.6,2020-21,BostonCollege,BostonCollege,Boston College,Frederick Scott,Boston College
Kamari Williams,35,0.48800000000000004,0.486,0.14300000000000002,0.4,0,0.114,0.75,0,0.743,0.308,0.875,0.114,0.5,2020-21,BostonCollege,BostonCollege,Boston College,Kamari Williams,Boston College
Aamir Simms,233,0.612,0.579,0.37799999999999995,0.682,0.483,0.386,0.467,0.381,0.23600000000000002,0.4,0.909,0.27,0.825,2020-21,Clemson,Clemson,Clemson,Aamir Simms,Clemson
Al-Amir Dawes,178,0.56,0.542,0.18,0.625,0.25,0.20800000000000002,0.324,0.25,0.612,0.39399999999999996,0.674,0.174,0.742,2020-21,Clemson,Clemson,Clemson,Al-Amir Dawes,Clemson
Nick Honor,176,0.522,0.506,0.14800000000000002,0.5770000000000001,0,0.233,0.341,0.28600000000000003,0.619,0.36700000000000005,0.75,0.131,0.7390000000000001,2020-21,Clemson,Clemson,Clemson,Nick Honor,Clemson
Clyde Trapp,155,0.501,0.484,0.439,0.529,0.306,0.19399999999999998,0.3,0.33299999999999996,0.368,0.35100000000000003,0.75,0.252,0.615,2020-21,Clemson,Clemson,Clemson,Clyde Trapp,Clemson
Hunter Tyson,101,0.608,0.574,0.287,0.552,0.688,0.20800000000000002,0.429,0.444,0.505,0.431,0.955,0.34700000000000003,0.7709999999999999,2020-21,Clemson,Clemson,Clemson,Hunter Tyson,Clemson
Jonathan Baehre,92,0.49100000000000005,0.435,0.413,0.579,0.636,0.272,0.24,0.667,0.315,0.276,1,0.293,0.852,2020-21,Clemson,Clemson,Clemson,Jonathan Baehre,Clemson
John Newman III,91,0.42200000000000004,0.385,0.33,0.5670000000000001,0.41200000000000003,0.319,0.207,0.33299999999999996,0.35200000000000004,0.25,0.875,0.14300000000000002,0.9229999999999999,2020-21,Clemson,Clemson,Clemson,John Newman,Clemson
Chase Hunter,90,0.361,0.33899999999999997,0.133,0.33299999999999996,0.25,0.478,0.442,0.21100000000000002,0.389,0.14300000000000002,0.8,0.133,0.667,2020-21,Clemson,Clemson,Clemson,Chase Hunter,Clemson
Alex Hemenway,86,0.592,0.5579999999999999,0.105,0.556,0.6,0.174,0.467,0.5710000000000001,0.721,0.387,1,0.209,0.889,2020-21,Clemson,Clemson,Clemson,Alex Hemenway,Clemson
PJ Hall,61,0.539,0.508,0.24600000000000002,0.867,0.615,0.508,0.484,0.467,0.24600000000000002,0.133,1,0.262,0.75,2020-21,Clemson,Clemson,Clemson,PJ Hall,Clemson
Olivier-Maxence Prosper,52,0.4320000000000001,0.375,0.5,0.5379999999999999,0.5710000000000001,0.154,0.125,0,0.34600000000000003,0.16699999999999998,1,0.423,0.682,2020-21,Clemson,Clemson,Clemson,Olivier-Maxence Prosper,Clemson
Matthew Hurt,285,0.6629999999999999,0.6509999999999999,0.228,0.769,0.54,0.344,0.541,0.47200000000000003,0.428,0.451,0.8909999999999999,0.24600000000000002,0.7290000000000001,2020-21,Duke,Duke,Duke,Matthew Hurt,Duke
DJ Steward,252.99999999999997,0.532,0.506,0.27699999999999997,0.643,0.311,0.249,0.365,0.174,0.474,0.33299999999999996,0.75,0.18600000000000003,0.787,2020-21,Duke,Duke,Duke,DJ Steward,Duke
Jeremy Roach,169,0.556,0.5379999999999999,0.331,0.607,0.20600000000000002,0.18899999999999997,0.562,0.278,0.479,0.321,0.8079999999999999,0.237,0.675,2020-21,Duke,Duke,Duke,Jeremy Roach,Duke
Jordan Goldwire,133,0.45399999999999996,0.436,0.34600000000000003,0.478,0.273,0.233,0.29,0.33299999999999996,0.42100000000000004,0.321,0.667,0.128,0.706,2020-21,Duke,Duke,Duke,Jordan Goldwire,Duke
Mark Williams,101,0.656,0.6729999999999999,0.733,0.77,0.614,0.267,0.40700000000000003,0.545,0,NA,NA,0.406,0.537,2020-21,Duke,Duke,Duke,Mark Williams,Duke
Jalen Johnson,97,0.5700000000000001,0.557,0.598,0.603,0.5429999999999999,0.22699999999999998,0.318,0.429,0.175,0.47100000000000003,0.875,0.33,0.625,2020-21,Duke,Duke,Duke,Jalen Johnson,Duke
Jaemyn Brakefield,74,0.48900000000000005,0.493,0.405,0.6,0.278,0.135,0.2,1,0.45899999999999996,0.324,0.909,0.162,0.41700000000000004,2020-21,Duke,Duke,Duke,Jaemyn Brakefield,Duke
Joey Baker,69,0.453,0.435,0.11599999999999999,0.375,0,0.145,0.3,0.33299999999999996,0.7390000000000001,0.314,0.938,0.11599999999999999,0.75,2020-21,Duke,Duke,Duke,Joey Baker,Duke
Keenan Worthington,2,0.508,0.5,1,0.5,0,0,NA,NA,0,NA,NA,1,0.5,2020-21,Duke,Duke,Duke,Wendell Moore,Duke
M.J. Walker,208,0.5650000000000001,0.519,0.26899999999999996,0.589,0.33299999999999996,0.27399999999999997,0.316,0.055999999999999994,0.457,0.4,0.868,0.35600000000000004,0.797,2020-21,FloridaSt.,FloridaSt.,Florida State,M.J. Walker,Florida State
RaiQuan Gray,204,0.5670000000000001,0.517,0.48,0.612,0.38299999999999995,0.377,0.455,0.171,0.142,0.24100000000000002,0.429,0.451,0.7609999999999999,2020-21,FloridaSt.,FloridaSt.,Florida State,Raiquan Gray,Florida State
Scottie Barnes,189,0.547,0.529,0.45,0.706,0.233,0.349,0.379,0.08,0.201,0.263,0.9,0.349,0.621,2020-21,FloridaSt.,FloridaSt.,Florida State,Scottie Barnes,Florida State
Anthony Polite,143,0.62,0.612,0.308,0.659,0.44799999999999995,0.168,0.375,0.222,0.524,0.44,0.9390000000000001,0.259,0.649,2020-21,FloridaSt.,FloridaSt.,Florida State,Anthony Polite,Florida State
Balsa Koprivica,142,0.629,0.609,0.7390000000000001,0.705,0.622,0.254,0.306,0.545,0.006999999999999999,1,1,0.415,0.695,2020-21,FloridaSt.,FloridaSt.,Florida State,Balsa Koprivica,Florida State
Sardaar Calhoun,112.99999999999999,0.543,0.522,0.239,0.63,0.47100000000000003,0.265,0.3,0,0.496,0.39299999999999996,0.955,0.106,0.917,2020-21,FloridaSt.,FloridaSt.,Florida State,Sardaar Calhoun,Florida State
Malik Osborne,109.00000000000001,0.561,0.509,0.248,0.667,0.556,0.275,0.3,0.111,0.47700000000000004,0.365,0.8420000000000001,0.33899999999999997,0.838,2020-21,FloridaSt.,FloridaSt.,Florida State,Malik Osborne,Florida State
RayQuan Evans,97,0.492,0.40700000000000003,0.44299999999999995,0.419,0.111,0.299,0.276,0,0.258,0.36,0.889,0.45399999999999996,0.841,2020-21,FloridaSt.,FloridaSt.,Florida State,RayQuan Evans,Florida State
Wyatt Wilkes,84,0.55,0.542,0.06,0.4,0.5,0.214,0.5,0.33299999999999996,0.726,0.377,0.9129999999999999,0.06,0.8,2020-21,FloridaSt.,FloridaSt.,Florida State,Wyatt Wilkes,Florida State
Nathanael Jack,49,0.597,0.5920000000000001,0.08199999999999999,0.75,1,0.08199999999999999,0.5,0.5,0.8370000000000001,0.39,1,0.163,0.625,2020-21,FloridaSt.,FloridaSt.,Florida State,Nathanael Jack,Florida State
Tanor Ngom,30,0.649,0.5670000000000001,0.767,0.696,0.75,0.133,0.25,1,0.1,0,NA,0.6,0.889,2020-21,FloridaSt.,FloridaSt.,Florida State,Tanor Ngom,Florida State
Moses Wright,313,0.5780000000000001,0.5589999999999999,0.48200000000000004,0.735,0.613,0.428,0.34299999999999997,0.391,0.08900000000000001,0.429,0.917,0.355,0.6579999999999999,2020-21,GeorgiaTech,GeorgiaTech,Georgia Tech,Moses Wright,Georgia Tech
Michael Devoe,289,0.591,0.564,0.263,0.632,0.41700000000000004,0.24600000000000002,0.39399999999999996,0.071,0.491,0.408,0.845,0.28,0.753,2020-21,GeorgiaTech,GeorgiaTech,Georgia Tech,Michael Devoe,Georgia Tech
Jose Alvarado,265,0.612,0.575,0.392,0.654,0.515,0.18100000000000002,0.41700000000000004,0.15,0.426,0.381,0.6509999999999999,0.29100000000000004,0.831,2020-21,GeorgiaTech,GeorgiaTech,Georgia Tech,Jose Alvarado,Georgia Tech
Jordan Usher,233,0.5660000000000001,0.552,0.365,0.706,0.617,0.292,0.5,0.265,0.34299999999999997,0.28800000000000003,1,0.23199999999999998,0.667,2020-21,GeorgiaTech,GeorgiaTech,Georgia Tech,Jordan Usher,Georgia Tech
Bubba Parham,135,0.545,0.515,0.2,0.556,0.267,0.133,0.611,0.091,0.667,0.322,0.966,0.2,0.815,2020-21,GeorgiaTech,GeorgiaTech,Georgia Tech,Bubba Parham,Georgia Tech
